"","title","year","date_published","genre","duration","country","language","avg_vote","votes"
"3664","One Crowded Night","1940","1940-08-09","Drama",68,"USA","English",6,148
"3667","La nostra città","1940","1940-05-24","Drama, Romance",90,"USA","English",6.6,2280
"3671","Il fantasma della città","1940","1940-11-18","Action, Crime, Drama",62,"USA","English",6.2,564
"3675","Pop Always Pays","1940","1940-06-21","Comedy",67,"USA","English",6,105
"3677","Piccolo porto","1940","1940-03-22","Drama, Romance",93,"USA","English",6.9,1284
"3678","Quiet Wedding","1941","1941-04-21","Comedy",80,"UK","English",6.5,108
"3688","Saloon Bar","1940","1940-11-02","Thriller",76,"UK","English",6.9,169
"3689","San Giovanni decollato","1940","1940-12-12","Comedy",89,"Italy","Italian",6.5,169
"3692","C'era una volta un piccolo naviglio","1940","1940-05-03","Comedy",56,"USA","English",7.2,2447
"3693","Saturday's Children","1940","1940-05-11","Drama, Romance",102,"USA","English, Spanish",6.4,398
"3704","Son of Ingagi","1940","1940-04-04","Horror",70,"USA","English",3.9,194
"3710","Trionfo d'amore","1940","1940-07-12","Drama",82,"USA","English",6.1,111
"3713","La via delle stelle","1940","1940-04-06","Comedy, Drama",90,"USA","English",6.6,236
"3718","Peccatrici folli","1940","1940-06-07","Comedy, Drama",117,"USA","English",5.9,1093
"3723","Tabi yakusha","1940","1940-12-18","Comedy",70,"Japan","Japanese",6.9,155
"3731","Non desiderare la donna d'altri","1940","1940-10-19","Drama, Romance",96,"USA","English, Italian",6.2,355
"3733","Wapakoneta","1940","1940-10-11","Comedy",96,"USA","English",7,804
"3734","Ciò che si chiama amore","1940","1941-01-02","Comedy",98,"USA","English, Spanish",6.4,143
"3739","Non sono una spia","1940","1940-07-19","Drama",86,"USA","English",6.6,398
"3747","Angeli della notte","1940","1940-02-09","Drama",96,"USA","English",6.7,696
"3748","Il cattivo la inseguiva ancora","1940","1940-10-11","Comedy",66,"USA","English",5.5,217
"3750","L'avventuriero di Venezia","1941","1941-05-10","Comedy",94,"France","French",7,320
"3753","We Who Are Young","1940","1940-07-19","Drama, Romance",80,"USA","English",6.1,264
"3756","Wildcat Bus","1940","1940-08-23","Action, Crime, Drama",64,"USA","English, Spanish",5.2,157
"3758","You Can't Fool Your Wife","1940","1940-05-21","Comedy",68,"USA","English",5.7,276
